School,Test_Scores,Graduation_Rates,Attendance_Records,Funding,Staffing,Materials,Low_Income_Students,Special_Needs_Students,Enrollment_Numbers,Community_Participation,Fundraising,Volunteer_Hours,Building_Age,Condition_of_Facilities,Technological_Resources,Safety
A,"[72, 85, 78, 90, 83, 67, 88, 75, 69, 91, 81, 76, 77, 82, 84, 73, 79, 87, 74, 89, 80, 66, 70, 65, 68, 92, 86, 72, 77, 85, 90, 81, 88, 69, 82, 75, 68, 74, 83, 71, 77, 90, 85, 88, 89, 86, 91, 80, 70, 73]", "[80, 78, 85, 90, 88, 83, 82, 89, 91, 84]", "[92, 85, 88, 90, 87, 93, 82, 91, 86, 89, 85, 80, 95, 88, 92, 87, 83, 90, 89, 88, 85, 91, 90, 87, 86, 93, 88, 89, 85, 90, 87, 85, 88, 91, 92, 85, 90, 93, 89, 88, 90, 85, 88, 91, 92, 85, 90, 87, 86, 88]", 1200000, 40, 7, 45, 12, 800, 70, 30000, 500, 20, 6, 8, 7
B,"[65, 70, 75, 80, 85, 60, 68, 74, 79, 83, 72, 76, 81, 67, 85, 71, 77, 80, 78, 84, 65, 70, 75, 80, 85, 60, 68, 74, 79, 83, 72, 76, 81, 67, 85, 71, 77, 80, 78, 84, 65, 70, 75, 80, 85, 60, 68, 74, 79, 83]", "[70, 72, 68, 75, 73, 74, 71, 70, 69, 72]", "[85, 80, 75, 90, 88, 83, 79, 85, 80, 77, 85, 80, 75, 90, 88, 83, 79, 85, 80, 77, 85, 80, 75, 90, 88, 83, 79, 85, 80, 77, 85, 80, 75, 90, 88, 83, 79, 85, 80, 77, 85, 80, 75, 90, 88, 83, 79, 85, 80, 77]", 900000, 30, 6, 60, 15, 600, 60, 20000, 300, 25, 5, 6, 6
C,"[80, 85, 90, 75, 70, 88, 92, 79, 84, 76, 90, 87, 83, 80, 82, 78, 85, 89, 81, 86, 80, 85, 90, 75, 70, 88, 92, 79, 84, 76, 90, 87, 83, 80, 82, 78, 85, 89, 81, 86, 80, 85, 90, 75, 70, 88, 92, 79, 84, 76]", "[90, 92, 89, 93, 91, 94, 90, 92, 89, 91]", "[95, 90, 92, 88, 91, 96, 89, 93, 90, 87, 95, 90, 92, 88, 91, 96, 89, 93, 90, 87, 95, 90, 92, 88, 91, 96, 89, 93, 90, 87, 95, 90, 92, 88, 91, 96, 89, 93, 90, 87, 95, 90, 92, 88, 91, 96, 89, 93, 90, 87]", 1500000, 50, 8, 30, 10, 1000, 80, 50000, 700, 15, 8, 9, 8
D,"[50, 60, 65, 55, 70, 65, 60, 55, 50, 60, 65, 55, 70, 65, 60, 55, 50, 60, 65, 55, 70, 65, 60, 55, 50, 60, 65, 55, 70, 65, 60, 55, 50, 60, 65, 55, 70, 65, 60, 55, 50, 60, 65, 55, 70, 65, 60, 55, 50, 60]", "[60, 55, 65, 70, 60, 55, 65, 70, 60, 55]", "[75, 80, 85, 70, 65, 75, 80, 85, 70, 65, 75, 80, 85, 70, 65, 75, 80, 85, 70, 65, 75, 80, 85, 70, 65, 75, 80, 85, 70, 65, 75, 80, 85, 70, 65, 75, 80, 85, 70, 65, 75, 80, 85, 70, 65, 75, 80, 85, 70, 65]", 700000, 25, 5, 70, 18, 500, 50, 15000, 100, 10, 10, 6, 5
E,"[85, 90, 88, 80, 85, 90, 88, 80, 85, 90, 88, 80, 85, 90, 88, 80, 85, 90, 88, 80, 85, 90, 88, 80, 85, 90, 88, 80, 85, 90, 88, 80, 85, 90, 88, 80, 85, 90, 88, 80, 85, 90, 88, 80, 85, 90, 88, 80, 85, 90]", "[95, 90, 92, 89, 93, 91, 94, 90, 92, 89]", "[90, 92, 88, 91, 96, 89, 93, 90, 87, 95, 90, 92, 88, 91, 96, 89, 93, 90, 87, 95, 90, 92, 88, 91, 96, 89, 93, 90, 87, 95, 90, 92, 88, 91, 96, 89, 93, 90, 87, 95, 90, 92, 88, 91, 96, 89, 93, 90, 87, 95]", 1600000, 60, 8, 20, 9, 1500, 85, 55000, 800, 15, 8, 7, 9
F,"[55, 60, 65, 70, 75, 80, 85, 60, 65, 70, 75, 80, 85, 60, 65, 70, 75, 80, 85, 60, 65, 70, 75, 80, 85, 60, 65, 70, 75, 80, 85, 60, 65, 70, 75, 80, 85, 60, 65, 70, 75, 80, 85, 60, 65, 70, 75, 80, 85, 60]", "[80, 75, 70, 65, 60, 80, 75, 70, 65, 60]", "[85, 80, 75, 70, 65, 85, 80, 75, 70, 65, 85, 80, 75, 70, 65, 85, 80, 75, 70, 65, 85, 80, 75, 70, 65, 85, 80, 75, 70, 65, 85, 80, 75, 70, 65, 85, 80, 75, 70, 65, 85, 80, 75, 70, 65, 85, 80, 75, 70, 65]", 800000, 20, 5, 50, 12, 700, 55, 18000, 350, 12, 5, 8, 5
G,"[65, 70, 75, 80, 85, 60, 65, 70, 75, 80, 85, 60, 65, 70, 75, 80, 85, 60, 65, 70, 75, 80, 85, 60, 65, 70, 75, 80, 85, 60, 65, 70, 75, 80, 85, 60, 65, 70, 75, 80, 85, 60, 65, 70, 75, 80, 85, 60, 65, 70]", "[85, 80, 75, 70, 85, 80, 75, 70, 85, 80]", "[90, 85, 80, 75, 70, 90, 85, 80, 75, 70, 90, 85, 80, 75, 70, 90, 85, 80, 75, 70, 90, 85, 80, 75, 70, 90, 85, 80, 75, 70, 90, 85, 80, 75, 70, 90, 85, 80, 75, 70, 90, 85, 80, 75, 70, 90, 85, 80, 75, 70]", 1100000, 35, 7, 40, 10, 900, 65, 25000, 450, 18, 7, 8, 7
H,"[75, 80, 85, 90, 80, 75, 70, 85, 90, 80, 75, 70, 85, 90, 80, 75, 70, 85, 90, 80, 75, 70, 85, 90, 80, 75, 70, 85, 90, 80, 75, 70, 85, 90, 80, 75, 70, 85, 90, 80, 75, 70, 85, 90, 80, 75, 70, 85, 90, 80]", "[80, 85, 90, 75, 70, 80, 85, 90, 75, 70]", "[75, 80, 85, 90, 80, 75, 70, 85, 90, 80, 75, 70, 85, 90, 80, 75, 70, 85, 90, 80, 75, 70, 85, 90, 80, 75, 70, 85, 90, 80, 75, 70, 85, 90, 80, 75, 70, 85, 90, 80, 75, 70, 85, 90, 80, 75, 70, 85, 90, 80]", 1300000, 45, 7, 35, 11, 850, 75, 35000, 600, 18, 8, 7, 6
I,"[85, 90, 95, 80, 85, 90, 95, 80, 85, 90, 95, 80, 85, 90, 95, 80, 85, 90, 95, 80, 85, 90, 95, 80, 85, 90, 95, 80, 85, 90, 95, 80, 85, 90, 95, 80, 85, 90, 95, 80, 85, 90, 95, 80, 85, 90, 95, 80, 85, 90]", "[95, 90, 85, 80, 95, 90, 85, 80, 95, 90]", "[85, 90, 95, 80, 85, 90, 95, 80, 85, 90, 95, 80, 85, 90, 95, 80, 85, 90, 95, 80, 85, 90, 95, 80, 85, 90, 95, 80, 85, 90, 95, 80, 85, 90, 95, 80, 85, 90, 95, 80, 85, 90, 95, 80, 85, 90, 95, 80, 85, 90]", 1700000, 65, 9, 15, 8, 2000, 90, 60000, 850, 16, 8, 9, 8
J,"[55, 60, 65, 70, 75, 80, 85, 60, 65, 70, 75, 80, 85, 60, 65, 70, 75, 80, 85, 60, 65, 70, 75, 80, 85, 60, 65, 70, 75, 80, 85, 60, 65, 70, 75, 80, 85, 60, 65, 70, 75, 80, 85, 60, 65, 70, 75, 80, 85, 60]", "[70, 75, 80, 65, 70, 75, 80, 65, 70, 75]", "[75, 80, 85, 90, 75, 80, 85, 90, 75, 80, 85, 90, 75, 80, 85, 90, 75, 80, 85, 90, 75, 80, 85, 90, 75, 80, 85, 90, 75, 80, 85, 90, 75, 80, 85, 90, 75, 80, 85, 90, 75, 80, 85, 90, 75, 80, 85, 90, 75, 80]", 750000, 22, 5, 65, 15, 600, 60, 16000, 200, 10, 5, 7, 6
K,"[65, 70, 75, 80, 85, 60, 68, 74, 79, 83, 72, 76, 81, 67, 85, 71, 77, 80, 78, 84, 65, 70, 75, 80, 85, 60, 68, 74, 79, 83, 72, 76, 81, 67, 85, 71, 77, 80, 78, 84, 65, 70, 75, 80, 85, 60, 68, 74, 79, 83]", "[70, 72, 68, 75, 73, 74, 71, 70, 69, 72]", "[85, 80, 75, 90, 88, 83, 79, 85, 80, 77, 85, 80, 75, 90, 88, 83, 79, 85, 80, 77, 85, 80, 75, 90, 88, 83, 79, 85, 80, 77, 85, 80, 75, 90, 88, 83, 79, 85, 80, 77, 85, 80, 75, 90, 88, 83, 79, 85, 80, 77]", 700000, 30, 5, 70, 20, 500, 70, 15000, 400, 12, 5, 6, 6
L,"[60, 65, 70, 75, 80, 85, 60, 65, 70, 75, 80, 85, 60, 65, 70, 75, 80, 85, 60, 65, 70, 75, 80, 85, 60, 65, 70, 75, 80, 85, 60, 65, 70, 75, 80, 85, 60, 65, 70, 75, 80, 85, 60, 65, 70, 75, 80, 85, 60, 65]", "[85, 80, 75, 70, 85, 80, 75, 70, 85, 80]", "[90, 85, 80, 75, 70, 90, 85, 80, 75, 70, 90, 85, 80, 75, 70, 90, 85, 80, 75, 70, 90, 85, 80, 75, 70, 90, 85, 80, 75, 70, 90, 85, 80, 75, 70, 90, 85, 80, 75, 70, 90, 85, 80, 75, 70, 90, 85, 80, 75, 70]", 800000, 25, 5, 60, 18, 650, 75, 18000, 350, 10, 5, 7, 7
M,"[85, 90, 75, 70, 85, 90, 75, 70, 85, 90, 75, 70, 85, 90, 75, 70, 85, 90, 75, 70, 85, 90, 75, 70, 85, 90, 75, 70, 85, 90, 75, 70, 85, 90, 75, 70, 85, 90, 75, 70, 85, 90, 75, 70, 85, 90, 75, 70, 85, 90]", "[90, 85, 80, 75, 90, 85, 80, 75, 90, 85]", "[85, 90, 75, 70, 85, 90, 75, 70, 85, 90, 75, 70, 85, 90, 75, 70, 85, 90, 75, 70, 85, 90, 75, 70, 85, 90, 75, 70, 85, 90, 75, 70, 85, 90, 75, 70, 85, 90, 75, 70, 85, 90, 75, 70, 85, 90, 75, 70, 85, 90]", 1600000, 55, 8, 25, 10, 1400, 85, 50000, 750, 20, 8, 8, 7
N,"[70, 75, 80, 85, 90, 75, 80, 85, 90, 75, 80, 85, 90, 75, 80, 85, 90, 75, 80, 85, 90, 75, 80, 85, 90, 75, 80, 85, 90, 75, 80, 85, 90, 75, 80, 85, 90, 75, 80, 85, 90, 75, 80, 85, 90, 75, 80, 85, 90, 75]", "[85, 90, 75, 80, 85, 90, 75, 80, 85, 90]", "[75, 80, 85, 90, 75, 80, 85, 90, 75, 80, 85, 90, 75, 80, 85, 90, 75, 80, 85, 90, 75, 80, 85, 90, 75, 80, 85, 90, 75, 80, 85, 90, 75, 80, 85, 90, 75, 80, 85, 90, 75, 80, 85, 90, 75, 80, 85, 90, 75, 80]", 1100000, 45, 6, 40, 15, 1100, 65, 30000, 500, 20, 7, 7, 6
